SANGER_ID,SPECIMEN_ID,DATE_OF_PRESERVATION,YEAR_OF_COLLECTION,MONTH_OF_COLLECTION,MONTH_YEAR,COLLECTION_LOCATION,DECIMAL_LATITUDE,DECIMAL_LONGITUDE,SEX,OUTDOORS_INDOORS,SPECIFIC_TIME_OF_COLLECTION,DURATION_OF_COLLECTION,COLLECTION_METHOD,BLOOD_MEAL,COLLECTOR_SAMPLE_ID,SPECIES_COLLECTED,PLASMODIUM_DETECTED,SPOROZOITE_INFECTIVITY,PLASMODIUM_SPECIES_AVAILABLE,CONTAMINATION_RISK,NN_ASSIGNMENT,VAE_SPECIES,SPECIES_CALL,CALL_METHOD
ANOSPP13104870,KAJO_011_E3,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76268898,32.964535,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.452,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104878,KAJO_011_E4,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76135098,32.963745,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.455,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104886,KAJO_011_E5,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76176496,32.963486,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.513,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104894,KAJO_011_E6,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76142902,32.963514,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.440,Anopheles_funestus,N,NA,NONE,Low,Y,NA,Anopheles_funestus,NN_FINE
ANOSPP13104902,KAJO_011_E7,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76176496,32.963486,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.354,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104910,KAJO_011_E8,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76471204,32.97493,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.442,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104918,KAJO_011_E9,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76972802,32.970962,F,INDOORS,09:00,PT3H,INDOOR_ASPIRATOR,Y,U.KJ.17.445,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104855,KAJO_011_F1,01/12/2014,2014,12,12.2014,UGANDA|KANSAMBWE,-0.0863228,32.5881,F,INDOORS,09:00,PT3H,PYRETHROID_SPRAY_CATCH,Y,U.NSZ.XI.12-14.007,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104927,KAJO_011_F10,01/06/2015,2015,6,6.2015,UGANDA|KAYONJO,0.76176496,32.963486,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.467,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104935,KAJO_011_F11,01/06/2015,2015,6,6.2015,UGANDA|KAYONJO,0.76176496,32.963486,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.405,Anopheles_arabiensis,N,NA,NONE,Low,Y,Anopheles_arabiensis,Anopheles_arabiensis,VAE
ANOSPP13104943,KAJO_011_F12,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76135098,32.963745,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.605,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104863,KAJO_011_F2,01/12/2014,2014,12,12.2014,UGANDA|KANSAMBWE,-0.08603,32.58743,F,INDOORS,09:00,PT3H,PYRETHROID_SPRAY_CATCH,Y,U.NSZ.XI.12-14.013,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104871,KAJO_011_F3,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.769206,32.971015,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.477,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104879,KAJO_011_F4,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76176496,32.963486,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.420,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104887,KAJO_011_F5,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76161501,32.963896,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.422,Anopheles_arabiensis,N,NA,NONE,Low,Y,Anopheles_arabiensis,Anopheles_arabiensis,VAE
ANOSPP13104895,KAJO_011_F6,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76075796,32.974344,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,N,U.KJ.17.411,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104903,KAJO_011_F7,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.75683699,32.972648,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.430,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104911,KAJO_011_F8,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76600797,32.974791,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.404,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104919,KAJO_011_F9,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76176496,32.963486,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.481,Anopheles_gambiae,N,NA,NONE,Low,Y,NA,Anopheles_gambiae_complex,NN_INTERMEDIATE
ANOSPP13104856,KAJO_011_G1,01/12/2014,2014,12,12.2014,UGANDA|KANSAMBWE,-0.0861219,32.5865059,F,INDOORS,09:00,PT3H,PYRETHROID_SPRAY_CATCH,Y,U.NSZ.XI.12-14.002,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104928,KAJO_011_G10,01/06/2015,2015,6,6.2015,UGANDA|KAYONJO,0.76075796,32.974344,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.472,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104936,KAJO_011_G11,01/06/2015,2015,6,6.2015,UGANDA|KAYONJO,0.769206,32.971015,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,N,U.KJ.17.475,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104944,KAJO_011_G12,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.75974501,32.974574,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.635,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104864,KAJO_011_G2,01/12/2014,2014,12,12.2014,UGANDA|KANSAMBWE,-0.08601,32.58794,F,INDOORS,09:00,PT3H,PYRETHROID_SPRAY_CATCH,Y,U.NSZ.XI.12-14.018,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104872,KAJO_011_G3,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76142902,32.963514,F,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,Y,U.KJ.17.418,Anopheles_gambiae,N,NA,NONE,Medium,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104880,KAJO_011_G4,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.769206,32.971015,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.560,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104888,KAJO_011_G5,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76176496,32.963486,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.412,Anopheles_gambiae,N,NA,NONE,Low,Y,NA,Anopheles_gambiae_complex,NN_INTERMEDIATE
ANOSPP13104896,KAJO_011_G6,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76135098,32.963745,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.484,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
ANOSPP13104904,KAJO_011_G7,01/01/2016,2016,1,1.2016,UGANDA|KAYONJO,0.76075796,32.974344,M,OUTDOORS,09:00,PT3H,OUTDOOR_ASPIRATOR,NA,U.KJ.17.471,Anopheles_gambiae,N,NA,NONE,Low,Y,Anopheles_gambiae,Anopheles_gambiae,VAE
